ID,roi_10_coords_-24_-39_-2_roi.mat,roi_11_coords_-38_7_-12_roi.mat,roi_12_coords_-39_-6_8_roi.mat,roi_13_coords_-41_-17_-4_roi.mat,roi_14_coords_-6_-88_-3_roi.mat,roi_15_coords_-11_-18_-19_roi.mat,roi_16_coords_-47_29_27_roi.mat,roi_17_coords_-8_14_-6_roi.mat,roi_18_coords_-14_0_3_roi.mat,roi_19_coords_-9_44_-2_roi.mat,roi_1_coords_-6_-6_28_roi.mat,roi_20_coords_-37_-20_19_roi.mat,roi_21_coords_-6_-37_27_roi.mat,roi_22_coords_-13_-72_40_roi.mat,roi_23_coords_-17_7_-10_roi.mat,roi_24_coords_-22_-46_63_roi.mat,roi_25_coords_-8_-16_1_roi.mat,roi_26_coords_6_-6_28_roi.mat,roi_27_coords_11_18_4_roi.mat,roi_28_coords_48_7_1_roi.mat,roi_29_coords_8_-69_23_roi.mat,roi_2_coords_-10_14_9_roi.mat,roi_31_coords_38_10_14_roi.mat,roi_32_coords_34_41_-12_roi.mat,roi_35_coords_24_-39_-2_roi.mat,roi_36_coords_35_11_-4_roi.mat,roi_37_coords_41_-8_-6_roi.mat,roi_38_coords_36_-12_6_roi.mat,roi_39_coords_6_-88_-3_roi.mat,roi_3_coords_-50_-2_1_roi.mat,roi_40_coords_7_-20_-14_roi.mat,roi_41_coords_35_29_29_roi.mat,roi_42_coords_8_11_-6_roi.mat,roi_43_coords_25_-11_-4_roi.mat,roi_44_coords_13_44_16_roi.mat,roi_45_coords_38_-20_19_roi.mat,roi_46_coords_6_-37_27_roi.mat,roi_47_coords_6_-61_56_roi.mat,roi_48_coords_25_4_3_roi.mat,roi_49_coords_22_-46_63_roi.mat,roi_4_coords_-8_-69_23_roi.mat,roi_50_coords_6_-16_2_roi.mat,roi_6_coords_-38_10_10_roi.mat,roi_7_coords_-25_33_-16_roi.mat,roi_8_coords_-30_26_-5_roi.mat
2044,-3.743659322,0.70945065,-1.267111706,-2.539551817,1.770208692,1.9889406,1.984608349,2.606385574,2.40432644,3.138079714,2.806324753,-2.084205565,0.884060259,-0.379753008,-0.190817236,0.086029649,-2.521613547,1.556491396,2.002045222,-0.278108727,2.506017903,2.854940197,0.019692121,2.215838492,1.21986122,-1.989950655,-0.082865136,-3.183205873,5.496978254,-0.848765808,4.48797379,1.355491798,1.754723488,1.040439884,2.95244399,1.755703256,0.852955387,-3.147146428,2.265510035,1.541776358,1.820928451,0.063988213,-3.15028009,1.350785136,3.162929205
2045,0.894538022,1.642318636,1.219280513,0.928649596,-3.146632426,0.686183408,0.052299696,-1.119714068,-0.198447459,-0.39136101,-1.580865807,-0.082875598,-3.051761696,-0.161362945,0.127708902,-1.606133003,3.603588787,-2.414183623,-1.888790752,-3.993671148,-3.112904594,-1.893336637,0.319578074,-1.46271646,0.510036309,-3.447505215,2.508094928,1.621740333,-0.951241675,-0.985072138,1.81369773,0.494981432,-1.107025867,-0.084653178,1.433693563,-1.682204151,-0.277145021,-1.858245794,-0.457999912,-2.719748363,-3.038596141,1.316439248,0.571239209,-0.125869572,-0.152907622
2046,0.867723639,-0.8979678,-4.026932861,1.552180508,-1.567394181,1.150941266,-4.123521031,-0.247104306,-1.337462174,2.778565925,2.469707169,-10.25238643,0.286692985,3.700690416,-0.240406563,0.321832384,-2.726999326,1.594315681,-1.469416218,-3.323993706,6.233143223,-2.456831924,-6.583932324,-0.726825565,-0.623363189,-1.529389447,-0.139965225,-2.207185166,4.19558464,-2.761747611,1.850724654,-0.385846068,-0.589897092,4.524259782,-0.747993496,-6.084072879,-1.985040991,1.820444353,-2.966995397,-1.412919101,7.308718692,-4.05031584,-9.284141917,-3.225980043,-3.92558387
2047,1.910178964,-2.035995348,1.842549362,-1.493779509,-1.050860482,6.883135155,2.370949178,0.402283526,-2.518932886,0.099493604,-6.674889208,0.598649783,-1.010751076,-0.034119759,1.166437905,1.715148086,-3.253011151,-7.758376658,-4.286078954,-4.341077771,-1.961918328,-1.454437991,-1.504796662,2.220715702,2.417928059,-4.431836202,-2.194478601,-4.00810809,2.220622256,-3.670439529,3.396526508,0.271703537,0.2818105,-4.382805504,0.735625309,-3.87491914,1.204946341,-4.967592671,-5.651960894,-1.136909565,-4.085442697,-2.857444148,-2.021644449,2.316567898,2.427732045
2048,0.174890217,3.533794987,0.898380504,-0.178447718,-0.272104513,1.486416048,-3.816431618,1.090311892,-0.239829481,5.681239222,1.102661379,1.629117105,-1.644824354,0.561820564,0.137218173,-0.064098493,-2.60382317,-0.157506262,3.294349331,-2.716322698,2.974984336,1.713062249,-2.22857528,4.586398363,1.61761882,-1.760004645,-2.129773965,-3.338958163,5.176849153,3.313207097,1.417782104,0.506109278,2.132059826,-1.851970611,1.096126397,-0.357451727,-0.587537901,2.813876752,-0.926859994,0.650849139,1.106535093,0.421035247,-1.774028115,1.459886789,1.074733631
2049,-6.927148201,4.703710791,1.411091319,-2.174181044,2.896659069,1.086147881,-1.108039773,1.039510326,1.148141085,-1.611887722,7.336283053,0.268717741,-6.20119024,-0.454801453,-1.901703913,0.483639274,-4.341420503,1.062334734,2.171142943,-0.993484162,-2.517381543,1.135028862,1.979870009,1.473468125,0.687451464,-1.555543406,4.104759391,-0.994176548,10.98266759,0.277357111,-1.34957367,-2.347615285,0.34905722,-0.003778618,-1.879417002,0.690964572,-3.830938973,-4.43758601,-0.860103663,-0.375193094,-3.651688073,-2.98784866,0.65545897,0.292084038,-0.333333082
2050,1.539115554,2.154370572,-0.482574181,0.195324332,-1.170504504,-0.18714756,-5.450669059,1.62175291,-0.118866405,-0.85063189,-3.826170563,0.859930746,1.250245294,-1.962748303,3.420024735,-1.168801111,4.748697829,-0.913744326,-1.657178884,-0.775064359,-2.598578408,-1.218348095,-0.368386241,0.270967335,-1.472124869,1.98186317,-2.723271212,-2.917224175,6.363115609,1.943859848,-2.474275438,-1.652384516,2.580839047,-0.589587076,0.112594419,0.288422984,0.665402907,0.80388312,1.361904379,-2.768209729,-2.479663934,1.686954139,1.889672027,-1.545919657,0.681042975
2051,0.46977707,1.453803277,-1.506850262,2.097788552,9.980622806,1.483075926,1.949964234,0.725710223,0.236517241,3.306168357,2.416437509,-1.1089215,-1.951071911,2.343305437,-0.013539076,1.791889088,-1.514130272,2.94189727,2.26015367,-1.933631384,-0.399928729,5.23636993,-1.676217632,-1.176568449,2.942826705,2.332293793,1.050571887,-0.534445861,10.02067468,-1.34449517,-0.09326051,0.651384953,1.525007157,-0.839790723,2.570988799,-1.937977178,-1.826618365,3.188917313,-0.445960307,1.048495158,0.884558969,-0.145064065,-0.718703904,1.670279026,2.316989961
2057,0.68838961,1.076632603,1.289755419,0.052104138,-3.516789684,4.763160546,0.168898788,-0.420559693,-0.421252194,0.041866768,0.854820089,1.749761832,-2.01970574,-1.005682445,-1.183767916,1.755986662,-1.215271976,-1.080178563,-0.580450077,-1.099735209,-0.850363787,0.279264576,-1.802478062,0.340081215,2.421081465,1.481522854,-0.934738662,-0.351825155,-2.478953083,-0.918365652,5.178889106,-1.333076291,-0.006785391,0.44709008,-0.502169245,0.151046489,-0.923332056,-1.505720615,0.095437619,-0.55454331,-0.979481094,-0.526776556,-0.711925769,-0.202622473,-0.680634465
2058,3.820269438,5.794468394,4.761395451,6.725856585,0.051958311,10.90552806,1.630677119,2.238990028,3.856934899,1.431518007,0.138839432,0.349472143,1.965306654,3.37418855,3.449686871,-0.37948966,-3.242263469,2.999527886,0.851667588,-3.075000461,-2.143392798,2.816374192,2.822701027,1.575470448,1.869781682,-0.030908996,2.715639378,-3.724493027,6.386428208,-1.006463145,6.36217222,0.227691593,3.797667458,1.344669323,1.686388365,0.199521722,4.646800123,3.457577979,-0.699505997,1.710276626,-4.904768808,-2.612907708,2.210848628,1.577146053,1.154191856
