ID,roi_10_coords_-24_-39_-2_roi.mat,roi_11_coords_-38_7_-12_roi.mat,roi_12_coords_-39_-6_8_roi.mat,roi_13_coords_-41_-17_-4_roi.mat,roi_14_coords_-6_-88_-3_roi.mat,roi_15_coords_-11_-18_-19_roi.mat,roi_16_coords_-47_29_27_roi.mat,roi_17_coords_-8_14_-6_roi.mat,roi_18_coords_-14_0_3_roi.mat,roi_19_coords_-9_44_-2_roi.mat,roi_1_coords_-6_-6_28_roi.mat,roi_20_coords_-37_-20_19_roi.mat,roi_21_coords_-6_-37_27_roi.mat,roi_22_coords_-13_-72_40_roi.mat,roi_23_coords_-17_7_-10_roi.mat,roi_24_coords_-22_-46_63_roi.mat,roi_25_coords_-8_-16_1_roi.mat,roi_26_coords_6_-6_28_roi.mat,roi_27_coords_11_18_4_roi.mat,roi_28_coords_48_7_1_roi.mat,roi_29_coords_8_-69_23_roi.mat,roi_2_coords_-10_14_9_roi.mat,roi_31_coords_38_10_14_roi.mat,roi_32_coords_34_41_-12_roi.mat,roi_35_coords_24_-39_-2_roi.mat,roi_36_coords_35_11_-4_roi.mat,roi_37_coords_41_-8_-6_roi.mat,roi_38_coords_36_-12_6_roi.mat,roi_39_coords_6_-88_-3_roi.mat,roi_3_coords_-50_-2_1_roi.mat,roi_40_coords_7_-20_-14_roi.mat,roi_41_coords_35_29_29_roi.mat,roi_42_coords_8_11_-6_roi.mat,roi_43_coords_25_-11_-4_roi.mat,roi_44_coords_13_44_16_roi.mat,roi_45_coords_38_-20_19_roi.mat,roi_46_coords_6_-37_27_roi.mat,roi_47_coords_6_-61_56_roi.mat,roi_48_coords_25_4_3_roi.mat,roi_49_coords_22_-46_63_roi.mat,roi_4_coords_-8_-69_23_roi.mat,roi_50_coords_6_-16_2_roi.mat,roi_6_coords_-38_10_10_roi.mat,roi_7_coords_-25_33_-16_roi.mat,roi_8_coords_-30_26_-5_roi.mat
2046,-2.572342269,-1.979739191,-3.540959645,-1.913311513,-0.194116548,-2.546384888,-1.692484277,-0.644241856,0.033693689,1.478275292,-3.518889836,-2.776319341,-6.48429397,0.494627261,0.372796293,-1.672798489,4.276885159,-3.521716696,2.437008857,-2.781328188,0.725874776,0.361865564,2.356753878,-1.332413554,-2.929332716,-0.880123329,-0.604505977,-5.082943376,3.624941757,-3.844891434,-7.497201681,-4.791506401,0.534667237,-0.643870555,0.07755105,-2.620892273,-6.789473725,1.503595562,0.416964225,-2.270938745,2.900851023,4.335940238,0.22654244,-2.027508736,-1.179505326
2047,-1.421829803,-0.218907325,1.742581213,-2.164111731,-0.849924181,3.449977109,0.308148778,-1.655304755,-2.765542892,0.234923094,-2.374775406,0.559516567,-2.920887607,-0.922594299,-1.736872268,-0.895892908,-3.71025561,-1.536529998,-3.668472016,-4.860145325,-2.288656356,-0.747760773,-2.227192167,4.242146254,-0.778431,-3.621449996,-1.024451345,-3.638049963,1.752422995,-2.566991683,1.034325842,0.647478068,-1.56347841,-3.839096866,1.889060419,-2.890492638,-0.409514059,-4.200206365,-5.320370242,-2.941526071,-4.954433477,-3.295947544,-1.280595456,0.944096923,1.98922785
2048,-1.651650956,6.50707458,2.695140472,0.258515725,1.05181354,3.29225957,-1.366090309,1.182657625,1.893754304,2.04426225,2.411067491,1.812727729,-1.918109954,0.569494622,-1.626262509,-0.33628406,-4.917408247,1.028835891,2.213038253,-1.674077587,0.99546532,-0.679277115,-0.306943613,2.244826853,2.332582102,-0.998821834,-1.07539636,-0.536692847,4.984195144,3.998506173,-0.940621712,0.453162649,1.176387261,-2.72768464,0.416888067,-0.805863108,-1.06695087,-0.162042708,0.387138953,1.107111074,-0.905068281,-2.352577546,0.405580886,1.439426303,1.204154142
2049,-1.995928749,2.200229058,-0.960883447,-2.168158897,-0.884993513,1.292157128,0.092039527,-0.52057272,0.615455448,-0.060637924,3.165812338,-3.057211903,3.791306508,-0.379545231,-0.767767313,-0.275430551,-3.857589367,-0.630503819,1.199732708,0.047607121,-2.389084738,1.05409067,0.153642378,0.566453099,-1.747297473,0.996580895,3.903107177,1.750906091,9.120530176,-0.46113913,-1.774102622,-3.732804609,-0.836895949,-1.664290842,-1.015193642,-1.253651334,3.687443979,-5.150919415,0.849409952,-1.187163033,-0.407615278,0.002623986,-4.037053742,0.376927853,-1.765773728
2050,4.121170761,6.892083788,3.284098612,2.830769288,-1.224444513,8.065576434,-1.973614341,-0.037250781,1.029123572,-1.666653739,3.964049386,0.357486826,-3.241238365,-5.201711371,2.785725354,-1.855425369,3.463894601,8.651249973,-1.0566305,2.863179879,-2.86185548,-0.958424815,2.256658013,-0.288235478,2.406054971,3.536108168,2.44824124,-1.502392264,6.856287968,5.584726559,12.27458018,-2.246447329,-1.641660112,2.316174879,-1.395414927,0.810765227,-4.412391573,-4.70072274,3.103185272,-0.944843629,-3.609907136,3.217162431,2.927534105,-1.573389173,0.122760802
2051,0.135493818,2.724836937,4.27034201,2.377107892,1.335038761,1.546815175,1.284722473,-1.985835346,1.192944163,-0.061936951,1.420127705,2.700137111,-0.771580191,2.050854291,-1.118375944,1.027080239,-0.873777268,1.79170822,0.65930578,2.520074195,2.618568481,1.635073014,0.556289412,-2.204019547,-0.210286628,3.566920655,2.044578737,0.372745043,1.348021378,2.891861847,1.582486631,0.754711088,-3.545427282,0.287874419,-0.882836669,0.594984881,-0.005823196,4.184487201,2.209604882,1.64398149,2.172312619,-2.420903438,3.5331508,-1.577974796,3.447550799
2057,-2.488125214,0.845192636,0.014952716,-3.241908757,-2.606512573,-2.199707774,-0.633543744,-0.781703248,-1.822072955,0.092054513,-4.920443437,0.925612759,-3.791931356,0.108406789,-2.080267551,2.521365233,-0.305272182,-8.037503925,1.55939409,-2.340931971,-1.718175491,-0.307561363,-1.998055739,-0.265291512,0.900696206,0.200864616,2.556338988,-2.763175618,-0.416542712,-1.292105633,-0.715406368,-0.551666204,2.338045066,-1.775797441,0.417806679,-0.892288826,-2.129723564,-1.105270903,-2.370769969,-0.767362924,-2.44120245,0.478123294,-1.217723331,0.679449201,0.907528358
2058,1.488113422,5.628590794,3.223999574,5.081229307,0.323050752,7.988363986,5.29034777,0.492501731,2.14938109,0.482274672,-1.950866024,-0.171495189,-3.125393078,3.498428951,0.556970069,0.008807533,-6.013896801,3.600443378,0.358622477,-2.277156222,-0.223300028,0.558702163,-0.10619582,0.130013198,-1.301919992,-0.344962721,1.408840492,-4.861552346,6.498093543,-0.671376265,8.307635949,0.963916844,0.190010386,0.321426246,0.33979602,-3.619730748,-0.866659841,5.086288464,-3.047604776,0.047245824,-1.460139142,-7.177049815,0.451844096,0.961510599,1.28297594
2059,-2.168161319,0.374671062,1.391710851,2.874348357,5.244182735,-3.112527137,3.354519729,0.152928273,0.973823032,2.165426341,-1.954978266,1.657830328,-0.434331067,1.24572455,1.215176249,6.502749198,-1.048467393,-3.999724427,6.821692765,-0.549672423,3.894202971,1.700120931,-1.951992905,-0.350055024,4.326875349,0.99954512,2.641260372,1.608645822,2.539342098,0.975249482,-1.838388719,2.383353993,1.745759526,-2.87404522,3.523013736,4.514723782,0.92574523,5.191605511,-3.282074897,3.070155049,1.107649695,-0.332152956,2.077606736,5.429561138,5.17438315
2060,-0.453561154,1.996835537,-2.571521346,-4.133440474,2.282918464,2.130008381,-0.953237322,1.05553962,-1.025233558,0.256936727,-3.50980149,-3.97351778,-7.111439954,-1.616527983,-0.163226225,-4.139968339,1.121420608,-5.451005618,0.679444075,-4.680849363,1.504995255,-1.813204715,-8.759075604,-0.146834195,-2.109418995,-0.016867094,-0.900802553,-5.390107149,4.72240424,3.093306456,2.206781436,4.37959151,-0.844107466,-1.250047829,-2.55802814,-7.36881591,-3.482012382,-0.714000522,-5.480355656,-3.467632185,-1.420779955,1.424210465,-2.337523397,-3.204313278,1.849318071
